ticker,total_years,avg_net_income,profit_consistency_ratio,net_income_volatility,income_growth,quality_score,stability_score,growth_score,allocation_score,portfolio_decision
DD,5,2088182629,0.8,3980545891,-109802555.2,3,5,5,4,Strong Allocation
NWBO,5,-108709421.1,0.2,257147854.2,-42830356,4,4,4,4,Strong Allocation
GPRO,5,51587026.78,0.4,179483771.5,-37899984.6,4,4,4,4,Strong Allocation
NUTX,5,-43884121.36,0.4,217027992.3,-39749890.2,4,4,4,4,Strong Allocation
BMBL,5,35000646.68,0.4,163220274.9,-71578566.7,4,4,4,4,Strong Allocation
NWL,5,-47618765.46,0.6,556986457.7,-497748560.1,3,5,5,4,Strong Allocation
ALK,5,45221703,0.8,787200408.7,-513993689.4,3,5,5,4,Strong Allocation
H,5,93921919.2,0.6,585541795.4,-534779024,3,5,5,4,Strong Allocation
STNE,5,374432353.2,0.6,559383622.3,-559970358,3,5,5,4,Strong Allocation
UAL,5,-615937029.9,0.6,4292454631,-409933336,3,5,5,4,Strong Allocation
BRKS,5,550527696,0.8,911170605.1,-458062786.3,3,5,5,4,Strong Allocation
M,5,-176878683.6,0.8,2223588343,-439386774.8,3,5,5,4,Strong Allocation
VIR,5,-12901019.38,0.4,502488661.1,-441655623.6,3,5,5,4,Strong Allocation
BIG,5,71981314.24,0.6,439344050.1,-719498128.1,3,5,5,4,Strong Allocation
IVZ,5,768320403.7,0.8,602349439.3,-813304279.8,3,5,5,4,Strong Allocation
MGM,5,957689175.2,0.8,1173989113,-874450034,3,5,5,4,Strong Allocation
SMG,5,105951017.5,0.6,489069269,-875615296.6,3,5,5,4,Strong Allocation
DAL,5,-270609195,0.8,7004197934,-613215848,3,5,5,4,Strong Allocation
AAL,5,-1631148040,0.6,4165397433,-826036367.5,3,5,5,4,Strong Allocation
WDC,5,-37176460.32,0.4,1282298896,-939361013.3,3,5,5,4,Strong Allocation
EAF,5,335359614.8,0.8,368176848.5,-1018779892,3,5,5,4,Strong Allocation
CG,5,861875147.7,0.8,1310100312,-951371074.6,3,5,5,4,Strong Allocation
CAH,5,-454163930.9,0.6,1934682587,-997221620.6,3,5,5,4,Strong Allocation
NCR,5,38143994.2,0.6,361455531.1,-1003825033,3,5,5,4,Strong Allocation
WOW,5,113926261.4,0.6,407797427.4,-320916308,3,5,5,4,Strong Allocation
JWN,5,69695527.3,0.8,448612024.6,-352824980.7,3,5,5,4,Strong Allocation
KSS,5,353780463.7,0.6,467813102.6,-395016050.3,3,5,5,4,Strong Allocation
ASH,5,264653290.7,0.8,538302332.7,-308677898.2,3,5,5,4,Strong Allocation
ACHC,5,-20518470.92,0.6,376017097.3,-136280050.5,3,5,5,4,Strong Allocation
CC,5,223821118.2,0.6,382493809.2,-192512103.8,3,5,5,4,Strong Allocation
HST,5,309154467.8,0.6,685825710.1,-222364022.4,3,5,5,4,Strong Allocation
TROX,5,267390175.1,0.6,509888102,-219214144.6,3,5,5,4,Strong Allocation
MCY,5,103975027.9,0.8,364509338.2,-236803413.2,3,5,5,4,Strong Allocation
ECL,5,803263425,0.8,1137681932,-224647268,3,5,5,4,Strong Allocation
MDB,5,-252813420.7,0,68598504.77,-247967.6,5,3,3,4,Strong Allocation
LPSN,5,-130488819,0,48093572.81,-645348.6,5,3,3,4,Strong Allocation
RGS,5,-78037637.08,0,68262994.54,6730016.7,5,3,3,4,Strong Allocation
OCUL,5,-79179368.72,0,52205146.55,4531264.6,5,3,3,4,Strong Allocation
DCPH,5,-227151671.5,0,53100766.01,4001426.8,5,3,3,4,Strong Allocation
VHC,5,27914869.78,0.2,135646447.2,-10064563,4,4,4,4,Strong Allocation
MX,5,64945902.76,0.4,152824982.9,-13735895.5,4,4,4,4,Strong Allocation
HYFM,5,-75624765.38,0.2,118738330.6,-21351895.6,4,4,4,4,Strong Allocation
GRPN,5,-96011061.56,0.2,165591969.6,-32076017,4,4,4,4,Strong Allocation
OMER,5,-16795642.04,0.4,140320387.4,-32165022.3,4,4,4,4,Strong Allocation
ZUO,5,-104505334.1,0,52267656.88,12638887,5,3,3,4,Strong Allocation
ITCI,5,-211848523.7,0,64640725.85,22233848.7,5,3,3,4,Strong Allocation
DIS,5,3188359473,0.8,5189698894,-9085609598,3,5,5,4,Strong Allocation
MU,5,3615786004,0.8,5761867258,-12450634474,3,5,5,4,Strong Allocation
NEM,5,716442550.1,0.6,2255082091,-5286014054,3,5,5,4,Strong Allocation
WBD,5,-1300475238,0.6,4151333698,-5356514157,3,5,5,4,Strong Allocation
TCOM,5,1604174965,0.6,3065542612,-5485227374,3,5,5,4,Strong Allocation
VNO,5,557539667.4,0.6,1489317496,-3076607794,3,5,5,4,Strong Allocation
WFRD,5,306313816.4,0.6,2016562081,-3104164408,3,5,5,4,Strong Allocation
IFF,5,-685864597.3,0.6,1465812497,-3136176435,3,5,5,4,Strong Allocation
DLTR,5,793266467.4,0.8,1058574509,-1836029828,3,5,5,4,Strong Allocation
HAS,5,-10661820.82,0.8,796712596.7,-1933630206,3,5,5,4,Strong Allocation
MKSI,5,-88467515.42,0.8,977714391.6,-1956204419,3,5,5,4,Strong Allocation
